"제품명","브랜드명","카테고리","효능","전성분","가격","용량","링크","유해성_점수"
"제주 말차 로우 피에이치 수딩 에멀전 크림","트리마이","로션/에멀전","보습;진정;모공/피지","녹차수(358,800ppm);정제수;부틸렌글라이콜;프로판다이올;글리세린;글리세레스-26;1,2-헥산다이올;아이소노닐아이소노나노에이트;스쿠알란;폴리글리세릴-3다이스테아레이트;폴리아크릴레이트크로스폴리머-6;하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머;녹차가루(3,000ppm);알란토인;베타인;트레할로오스;카프릴릭/카프릭트라이글리세라이드;녹차추출물(500ppm);에틸헥실글리세린;글리세릴스테아레이트시트레이트;폴리솔베이트60;시트릭애씨드;다이소듐이디티에이;솔비탄아이소스테아레이트;하이드로제네이티드레시틴;효모/자일리눔/홍차발효물;타임추출물;라벤더추출물;오레가노꽃/잎/줄기추출물;로즈마리추출물;피토스테릴/옥틸도데실라우로일글루타메이트;세라마이드엔피;하이드로제네이티드포스파티딜콜린;소듐하이알루로네이트;병풀추출물;수크로오스스테아레이트;세테아릴알코올;아시아티코사이드;마데카식애씨드;아시아틱애씨드;마데카소사이드","25000","150ml","https://www.hwahae.co.kr/goods/%ED%8A%B8%EB%A6%AC%EB%A7%88%EC%9D%B4-%EC%A0%9C%EC%A3%BC-%EB%A7%90%EC%B0%A8-%EB%A1%9C%EC%9A%B0-%ED%94%BC%EC%97%90%EC%9D%B4%EC%B9%98-%EC%88%98%EB%94%A9-%EC%97%90%EB%A9%80%EC%A0%84-%ED%81%AC%EB%A6%BC/72499?goods_tab=review_ingredients","1.142857142857143"
"모이스춰라이징 로션","세타필","로션/에멀전","보습","정제수;글리세린;아이소프로필팔미테이트;세테아릴알코올;세테아레스-20;판테놀;나이아신아마이드;토코페릴아세테이트;다이메티콘;아보카도오일;해바라기씨오일;판토락톤;글리세릴스테아레이트;소듐벤조에이트0.5%;벤질알코올0.25%;시트릭애씨드","21500","473ml","https://www.hwahae.co.kr/products/%EC%84%B8%ED%83%80%ED%95%84-%EB%AA%A8%EC%9D%B4%EC%8A%A4%EC%B6%B0%EB%9D%BC%EC%9D%B4%EC%A7%95-%EB%A1%9C%EC%85%98/1995671?goods_tab=review_ingredients","1.4"
"엑토인 로션","바론시에","로션/에멀전","보습","정제수;부틸렌글라이콜다이카프릴레이트/다이카프레이트;다이프로필렌글라이콜;폴리글리세릴-3메틸글루코오스다이스테아레이트;1,2-헥산다이올;카프릴릭/카프릭/석시닉트라이글리세라이드;세테아릴에틸헥사노에이트;글리세릴스테아레이트시트레이트;세테아릴알코올;호호바씨오일;엑토인(5,000ppm);식물성오일;카보머;아미노메틸프로판다이올;판테놀;하이드로제네이티드포스파티딜콜린;포타슘시트레이트;세라마이드엔피","38000","200ml","https://www.hwahae.co.kr/goods/%EB%B0%94%EB%A1%A0%EC%8B%9C%EC%97%90-%EC%97%91%ED%86%A0%EC%9D%B8-%EB%A1%9C%EC%85%98-200ml/54054?goods_tab=review_ingredients","1.1"
"DMT 페이셜 로션","피지오겔","로션/에멀전","보습","정제수;카프릴릭/카프릭트라이글리세라이드;글리세린;펜틸렌글라이콜;코코넛야자오일;오일팜오일;시어버터;올리브오일;하이드로제네이티드레시틴;하이드록시에틸셀룰로오스;카프릴릴글라이콜;잔탄검;스쿠알란;카보머;소듐카보머;세라마이드엔피","26500","200ml","https://www.hwahae.co.kr/products/%ED%94%BC%EC%A7%80%EC%98%A4%EA%B2%94-DMT-%ED%8E%98%EC%9D%B4%EC%85%9C-%EB%A1%9C%EC%85%98/1747514?goods_tab=review_ingredients","1.0"
"소나무 진정 시카 로션","라운드랩","로션/에멀젼","보습;진정","정제수;프로판다이올;1,2-헥산다이올;글리세린;세틸에틸헥사노에이트;하이알루로닉애씨드;하이드롤라이즈드하이알루로닉애씨드;소듐하이알루로네이트;소나무잎추출물(5,012ppm);인도멀구슬나무잎추출물;부틸렌글라이콜;에틸헥실글리세린;병풀추출물 (61.12ppm);인도멀구슬나무꽃추출물;카카오씨추출물;세테아릴올리베이트;글리세레스-26;글라이코프로테인(1.0024ppm);카프릴로일살리실릭애씨드;C12-20알킬글루코사이드;암모늄폴리아크릴로일다이메틸타우레이트;하이드로제네이티드폴리데센;덱스트린;아시아티코사이드(0.0501ppm);아시아틱애씨드(0.0501ppm);마데카소사이드(0.0501ppm);마데카식애씨드(0.0501ppm);비닐다이메티콘;솔비탄올리베이트;카보머;C14-22알코올;다이소듐이디티에이;트로메타민","25000","250ml","https://www.hwahae.co.kr/goods/%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9-%EC%86%8C%EB%82%98%EB%AC%B4-%EC%A7%84%EC%A0%95-%EC%8B%9C%EC%B9%B4-%EB%A1%9C%EC%85%98-250ml/44546?goods_tab=review_ingredients","1.181818181818182"
"다이브인 저분자 히알루론산 세럼","토리든","에센스/앰플/세럼","보습;진정","정제수;부틸렌글라이콜;글리세린;다이프로필렌글라이콜;1,2-헥산다이올;판테놀;소듐하이알루로네이트;하이드롤라이즈드하이알루로닉애씨드;소듐아세틸레이티드하이알루로네이트;소듐하이알루로네이트크로스폴리머;하이드롤라이즈드소듐하이알루로네이트;알란토인;트레할로오스;베타인;프로판다이올;쇠비름추출물;버지니아풍년화추출물;마데카소사이드;마데카식애씨드;세라마이드엔피;베타-글루칸;말라카이트추출물;콜레스테롤;펜틸렌글라이콜;글리세릴아크릴레이트/아크릴릭애씨드코폴리머;피브이엠/엠에이코폴리머;폴리글리세릴-10라우레이트;잔탄검;트로메타민;카보머;에틸헥실글리세린;황금추출물;모란뿌리추출물","22000","50ml","https://www.hwahae.co.kr/goods/%ED%86%A0%EB%A6%AC%EB%93%A0-%EB%8B%A4%EC%9D%B4%EB%B8%8C%EC%9D%B8-%EC%A0%80%EB%B6%84%EC%9E%90-%ED%9E%88%EC%95%8C%EB%A3%A8%EB%A1%A0%EC%82%B0-%EC%84%B8%EB%9F%BC-100ml-%EA%B8%B0%ED%9A%8D-PLUS%EC%88%98%EB%94%A9%ED%81%AC%EB%A6%BC-50ml/54413?goods_tab=review_ingredients","1.121212121212121"
"리얼 히알루로닉 블루 100 앰플","웰라쥬","에센스/앰플/세럼","보습","정제수;프로판다이올;펜틸렌글라이콜;글리세린;1,2-헥산다이올;판테놀;참마뿌리추출물;인도멀구슬나무잎추출물;인도멀구슬나무꽃추출물;아이비고드열매추출물;카바카바잎/뿌리/줄기추출물;병풀추출물;인삼열매추출물;가지열매추출물;알로에베라꽃추출물;홀리바질잎추출물;울금뿌리추출물;참산호말추출물;갈랑가갈랑갈추출물;소듐하이알루로네이트(1,000ppm);하이드로제네이티드레시틴;메틸프로판다이올;소듐아크릴릭애씨드/엠에이코폴리머;부틸렌글라이콜;잔탄검;소듐시트레이트;글라이코실트레할로오스;하이드로제네이티드스타치하이드롤리세이트;아데노신;시트릭애씨드;라피노오스;레시틴;폴리쿼터늄-51;베타-글루칸;사카라이드아이소머레이트;사이아노코발아민;바이오사카라이드검-1;카프릴릭/카프릭트라이글리세라이드;소듐스테아로일글루타메이트;수크로오스라우레이트;글라이신;세린;알지닌;히스티딘;리솔레시틴;하이드롤라이즈드소듐하이알루로네이트(0.1ppm);토코페롤;벤질글라이콜;하이드롤라이즈드글라이코사미노글리칸(0.0056ppm);소듐아세틸레이티드하이알루로네이트(0.000002ppm);소듐하이알루로네이트크로스폴리머(0.001ppm);하이드록시프로필트라이모늄하이알루로네이트(0.0001ppm);하이드롤라이즈드하이알루로닉애씨드(0.0005ppm);하이알루로닉애씨드(0.00001ppm);에틸헥실글리세린;카프릴릴글라이콜","30000","100ml","https://www.hwahae.co.kr/goods/%EC%9B%B0%EB%9D%BC%EC%A5%AC-%EB%A6%AC%EC%96%BC-%ED%9E%88%EC%95%8C%EB%A3%A8%EB%A1%9C%EB%8B%89-%EB%B8%94%EB%A3%A8-100-%EC%95%B0%ED%94%8C-120ml%EA%B8%B0%ED%9A%8D-%EB%B3%B8%ED%92%8860mlPLUS%EB%A6%AC%ED%95%8460ml/61888?goods_tab=review_ingredients","1.064516129032258"
"PDRN 히알루론산 캡슐 100 세럼","아누아","에센스/앰플/세럼","보습","정제수;부틸렌글라이콜;프로판다이올;글리세린;하이드롤라이즈드하이알루로닉애씨드;1,2-헥산다이올;나이아신아마이드;글리세릴올리에이트;라우릴글루코사이드;미리스틸글루코사이드;폴리글리세릴-6라우레이트;하이드로제네이티드레시틴;글루타티온;하이드롤라이즈드콜라겐;소듐하이알루로네이트;황련뿌리추출물;아데노신;소듐디엔에이;하이알루로닉애씨드;하이드롤라이즈드소듐하이알루로네이트;하이드록시프로필트라이모늄하이알루로네이트;포타슘하이알루로네이트;소듐하이알루로네이트크로스폴리머;소듐아세틸레이티드하이알루로네이트;인도멀구슬나무잎추출물;인도멀구슬나무꽃추출물;아이비고드열매추출물;가지열매추출물;홀리바질잎추출물;시트릭애씨드;울금뿌리추출물;참산호말추출물;소듐시트레이트;펜틸렌글라이콜","39000","30ml","https://www.hwahae.co.kr/goods/%EC%95%84%EB%88%84%EC%95%84-%EC%95%84%EB%88%84%EC%95%84-%ED%94%BC%EB%94%94%EC%95%8C%EC%97%94-%EC%BA%A1%EC%8A%90-100-%EC%84%B8%EB%9F%BC-50ml-%EB%8C%80%EC%9A%A9%EB%9F%89-%EA%B8%B0%ED%9A%8D-PLUS%ED%81%AC%EB%A6%BC-10ml/69360?goods_tab=review_ingredients","1.038461538461538"
"데일리 컨셔스 세럼","쓰리노프","에센스/앰플/세럼","보습;진정","병풀추출물;부틸렌글라이콜;글리세린;정제수;1,2-헥산다이올;프로판다이올;카보머;하이드록시아세토페논;트로메타민;셀룰로오스검;글리세레스-25피씨에이아이소스테아레이트;하이드롤라이즈드치자추출물;하이드롤라이즈드맥아추출물;하이드롤라이즈드삼색제비꽃추출물;코튼열매수;에틸헥실글리세린;아데노신;다이프로필렌글라이콜;맥아추출물;다이소듐이디티에이;여주열매추출물;접시꽃추출물;하이알루로닉애씨드;하이드롤라이즈드하이알루로닉애씨드;무궁화나무껍질추출물;소듐하이알루로네이트;바쿠치올","42000","55ml","https://www.hwahae.co.kr/goods/%EC%93%B0%EB%A6%AC%EB%85%B8%ED%94%84-%EB%8D%B0%EC%9D%BC%EB%A6%AC-%EC%BB%A8%EC%85%94%EC%8A%A4-%EC%84%B8%EB%9F%BC-55mL-2%EA%B0%9C%EC%9E%85/72702?goods_tab=review_ingredients","1.222222222222222"
"아쿠아 스쿠알란 세럼","에스네이처","에센스/앰플/세럼","보습;진정;모공/피지","정제수;글리세린;부틸렌글라이콜;메틸프로판다이올;1,2-헥산다이올;베타인;다시마추출물;한련초잎추출물;버지니아풍년화추출물;소듐하이알루로네이트;하이드로제네이티드레시틴;판테놀;알란토인;프룩토올리고사카라이드;베타-글루칸;하이드롤라이즈드하이알루로닉애씨드;식물성스쿠알란(1ppm);하이드록시프로필트라이모늄하이알루로네이트;소듐아세틸레이티드하이알루로네이트;하이드롤라이즈드소듐하이알루로네이트;하이알루로닉애씨드;소듐하이알루로네이트크로스폴리머;포타슘하이알루로네이트;에틸헥실글리세린;카보머;트로메타민;잔탄검;다이소듐이디티에이","40000","100ml","https://www.hwahae.co.kr/goods/%EC%97%90%EC%8A%A4%EB%84%A4%EC%9D%B4%EC%B2%98-%EC%95%84%EC%BF%A0%EC%95%84-%EC%8A%A4%EC%BF%A0%EC%95%8C%EB%9E%80-%EC%84%B8%EB%9F%BC-100ml-PLUS-%EB%A7%88%EC%8A%A4%ED%81%AC%ED%8C%A9-1%EB%A7%A4/45153?goods_tab=review_ingredients","1.115384615384615"
"마데카소사이드 흔적 리페어 세럼","메디힐","에센스/앰플/세럼","보습;진정;모공/피지","정제수;글리세린;부틸렌글라이콜;프로판다이올;1,2-헥산다이올;나이아신아마이드;글리세릴폴리메타크릴레이트;판테놀;베타인;폴리글리세릴-10라우레이트;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;다이페닐다이메티콘;트로메타민;트라이에틸헥사노인;마데카소사이드(540ppm);잔탄검;에틸헥실글리세린;하이드로제네이티드레시틴;소듐하이알루로네이트;병풀추출물(51ppm);서양배추출물;연필향나무오일;병풀잎추출물(21ppm);베타-글루칸;다마스크장미꽃수;멜론추출물;오리스뿌리추출물;서양송악잎/줄기추출물;호호바씨오일;광곽향오일;불가리스쑥오일;로즈마리잎오일;토코페롤;다이프로필렌글라이콜;펜틸렌글라이콜;카프릴릴/카프릴글루코사이드;마데카식애씨드(0.00004ppm);아시아틱애씨드(0.00003ppm);아시아티코사이드(39ppm);세라마이드엔피","35000","40ml","https://www.hwahae.co.kr/goods/%EB%A9%94%EB%94%94%ED%9E%90-%EB%A7%88%EB%8D%B0%EC%B9%B4%EC%86%8C%EC%82%AC%EC%9D%B4%EB%93%9C-%ED%9D%94%EC%A0%81-%EB%A6%AC%ED%8E%98%EC%96%B4-%EC%84%B8%EB%9F%BC-100ml-%EA%B8%B0%ED%9A%8D-PLUS%ED%8C%A8%EB%93%9C-2%EB%A7%A4PLUS%EB%A7%88%EC%8A%A4%ED%81%AC-1%EB%A7%A4/66348?goods_tab=review_ingredients","1.321428571428571"
"트러블 세범 리밸런싱 131 앰플","셀라딕스","에센스/앰플/세럼","모공/피지","정제수;다이프로필렌글라이콜;부틸렌글라이콜;글리세레스-26;나이아신아마이드;글리세린;베타인;피토스테롤;세라마이드엔피;스쿠알란;라우릭애씨드;아라키딕애씨드;베헤닉애씨드;베타-글루칸;참오동나무잎추출물;육계나무껍질추출물;생달나무잎추출물;녹나무잎추출물;월계수잎추출물;고수추출물;유칼립투스잎추출물;황금추출물;후박나무가지추출물;1,2-헥산다이올;폴리글리세릴-10라우레이트;폴리글리세릴-10미리스테이트;하이드록시아세토페논;판테놀;아데노신;다이소듐이디티에이;소듐하이알루로네이트;잔탄검;소듐폴리아크릴레이트;에틸헥실글리세린;베르가모트오일;라반딘오일;오렌지껍질오일;라벤더오일;발삼아미리스껍질오일;바질오일;리모넨;리날룰","50000","30ml","https://www.hwahae.co.kr/goods/%EC%85%80%EB%9D%BC%EB%94%95%EC%8A%A4-%ED%8A%B8%EB%9F%AC%EB%B8%94-%EC%84%B8%EB%B2%94-%EB%A6%AC%EB%B0%B8%EB%9F%B0%EC%8B%B1-131%EC%95%B0%ED%94%8C-%EA%B8%B0%ED%9A%8D%EC%84%B8%ED%8A%B8-%EC%95%B0%ED%94%8C30ml-2%EA%B0%9CPLUS%EC%88%98%EB%B6%84%ED%81%AC%EB%A6%BC%EC%83%A4%EC%89%901ml-10%EA%B0%9C/69389?goods_tab=review_ingredients","1.346153846153846"
"밸런스풀 시카 진정 세럼","토리든","에센스/앰플/세럼","진정","정제수;부틸렌글라이콜;글리세린;다이프로필렌글라이콜;1,2-헥산다이올;글리세레스-26;판테놀;병풀추출물;마데카식애씨드;아시아티코사이드;아시아틱애씨드;마데카소사이드;알란토인;쓴풀추출물;푸른연꽃추출물;락토바실러스발효물;접시꽃추출물;소듐하이알루로네이트;하이드롤라이즈드하이알루로닉애씨드;하이알루로닉애씨드;하이드록시프로필트라이모늄하이알루로네이트;포타슘하이알루로네이트;소듐하이알루로네이트크로스폴리머;소듐아세틸레이티드하이알루로네이트;베타인;카프릴로일살리실릭애씨드;다이펩타이드-2;다이포타슘글리시리제이트;펜틸렌글라이콜;소듐스테아로일글루타메이트;프로판다이올;아이소펜틸다이올;글리세릴아크릴레이트/아크릴릭애씨드코폴리머;피브이엠/엠에이코폴리머;카프로익애씨드;폴리글리세릴-4올리에이트;소듐서팩틴;카보머;잔탄검;트로메타민;소듐아세테이트;인도멀구슬나무잎추출물;인도멀구슬나무꽃추출물;다이소듐이디티에이;에틸헥실글리세린","23000","50ml","https://www.hwahae.co.kr/goods/%ED%86%A0%EB%A6%AC%EB%93%A0-%EB%B0%B8%EB%9F%B0%EC%8A%A4%ED%92%80-%EC%8B%9C%EC%B9%B4-%EC%A7%84%EC%A0%95-%EC%84%B8%EB%9F%BC-50ml/47543?goods_tab=review_ingredients ","1.131578947368421"
"베러 밸런스 앰플","로포에","에센스/앰플/세럼","보습;진정","정제수;프로판다이올;부틸렌글라이콜;글리세린;1,2-헥산다이올;글리세레스-26;나이아신아마이드;푸른연꽃수;판테놀;알지닌;카보머;베타인;에리스리톨;에틸헥실글리세린;암모늄아크릴로일다이메틸타우레이트/브이피코폴리머;트레할로오스;잔탄검;아데노신;말라카이트추출물;다이포타슘글리시리제이트;다이소듐이디티에이;폴리쿼터늄-51;소듐하이알루로네이트;블루아가베잎추출물;베타-글루칸;약모밀추출물;밤부사불가리스추출물;병풀추출물;하이알루로닉애씨드;하이드롤라이즈드하이알루로닉애씨드;하이드롤라이즈드소듐하이알루로네이트;소듐하이알루로네이트크로스폴리머;편백잎추출물;소나무잎추출물;측백나무추출물","31000","50ml","https://www.hwahae.co.kr/goods/%EB%A1%9C%ED%8F%AC%EC%97%90-%EB%B2%A0%EB%9F%AC-%EB%B0%B8%EB%9F%B0%EC%8A%A4-%EC%95%B0%ED%94%8C-50ml/66581?goods_tab=review_ingredients ","1.137931034482759"
"트리플 이펙트 시너지 세럼","프리메이","에센스/앰플/세럼","보습;진정;주름/탄력;모공/피지","밤부사불가리스수;정제수;해바라기씨오일;카프릴릭/카프릭트라이글리세라이드;부틸렌글라이콜;다이프로필렌글라이콜;글리세레스-26;1,2-헥산다이올;바쿠치올;마데카소사이드;소듐하이알루로네이트;하이알루로닉애씨드;하이드롤라이즈드하이알루로닉애씨드;하이드롤라이즈드소듐하이알루로네이트;하이드록시프로필트라이모늄하이알루로네이트;포타슘하이알루로네이트;소듐하이알루로네이트크로스폴리머;소듐아세틸레이티드하이알루로네이트;다이메틸실란올하이알루로네이트;소듐하이알루로네이트다이메틸실란올;약모밀추출물;마카다미아씨오일;판테놀;하이드록시아세토페논;씨솔트;토코페롤;베타인;서양배추출물;알지닌;카보머;한련초추출물;다마스크장미꽃수;아데노신;아미노부티릭애씨드;다이소듐이디티에이;오리스뿌리추출물;인도멀구슬나무잎추출물;멜론추출물;서양송악잎/줄기추출물;인도멀구슬나무꽃추출물;아이비고드열매추출물;드럼스틱씨오일;가지열매추출물;호호바씨오일;병풀추출물;참산호말추출물;울금뿌리추출물;홀리바질잎추출물;펜틸렌글라이콜;프로판다이올","36000","50ml","https://www.hwahae.co.kr/goods/%ED%94%84%EB%A6%AC%EB%A9%94%EC%9D%B4-%ED%8A%B8%EB%A6%AC%ED%94%8C-%EC%9D%B4%ED%8E%99%ED%8A%B8-%EC%8B%9C%EB%84%88%EC%A7%80-%EC%84%B8%EB%9F%BC-%EA%B8%B0%ED%9A%8D-%EC%84%B8%EB%9F%BC-50mlPLUS%ED%81%AC%EB%A6%BC30ml-PLUS%ED%95%91%ED%81%AC-%EB%A7%88%EC%8A%A4%ED%81%AC-2%EB%A7%A4-%EC%A6%9D%EC%A0%95/67870?goods_tab=review_ingredients  ","1.093023255813953"
"레드 스무디 세럼 30","아렌시아","에센스/앰플/세럼","주름/탄력;모공/피지","정제수;글리세린;나이아신아마이드;알부틴;프로판다이올;1,2-헥산다이올;부틸렌글라이콜;메틸프로판다이올;암모늄아크릴로일다이메틸타우레이트/브이피코폴리머;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;알지닌;치자추출물(706ppm);에틸헥실글리세린;덱스트린;아데노신;폴리글리세릴-10미리스테이트;폴리글리세릴-10라우레이트;인삼열매추출물(301ppm);글리세릴아크릴레이트/아크릴릭애씨드코폴리머;아보카도열매추출물(300ppm);양까막까치밥나무열매추출물(300ppm);차가버섯추출물(300ppm);케일잎추출물(300ppm);피브이엠/엠에이코폴리머;효모/쌀발효여과물(127ppm);소듐하이알루로네이트;페룰릭애씨드;사탕무뿌리추출물;월귤추출물;프렌치로즈꽃추출물;히비스커스꽃추출물;로즈힙열매추출물;헥사펩타이드-2;수용성콜라겐(0.13ppm);하이드롤라이즈드디엔에이;바이오틴;3-O-에틸아스코빅애씨드;소듐아스코빌포스페이트;아스코빅애씨드;아스코빌글루코사이드;토코페롤;판테놀;피리독신","42000","50g","https://www.hwahae.co.kr/goods/%EC%95%84%EB%A0%8C%EC%8B%9C%EC%95%84-%EB%A0%88%EB%93%9C-%EC%8A%A4%EB%AC%B4%EB%94%94-%EC%84%B8%EB%9F%BC-30-50g/68610?goods_tab=review_ingredients","1.1"
"시카 PDRN 스킨 부스터 세럼","비플레인","에센스/앰플/세럼","진정;주름/탄력","정제수;부틸렌글라이콜;다이프로필렌글라이콜;글리세린;나이아신아마이드;1,2-헥산다이올;소듐폴리아크릴레이트;페닐트라이메티콘;병풀추출물(100ppm);소듐디엔에이(100ppm);비피다발효여과물;글리세릴아크릴레이트/아크릴릭애씨드코폴리머;피브이엠/엠에이코폴리머;트라이데세스-10;마데카소사이드(15ppm);알지닌;락토바실러스발효용해물;아시아티코사이드(5ppm);쇠비름추출물;마데카식애씨드(2.5ppm);아시아틱애씨드(1.5ppm);베타-글루칸;하이드로제네이티드레시틴;소듐하이알루로네이트;밀싹추출물;시어버터;올리브오일;하이드록시프로필트라이모늄하이알루로네이트;칸디다봄비콜라/글루코오스/메틸레이프씨데이트발효물;세라마이드엔피;글라이코리피드;하이드롤라이즈드하이알루로닉애씨드;소듐아세틸레이티드하이알루로네이트;하이알루로닉애씨드;소듐하이알루로네이트크로스폴리머;포타슘하이알루로네이트;하이드록시아세토페논;세테아릴올리베이트;솔비탄올리베이트;카프릴릴글라이콜;에틸헥실글리세린;판테놀;아데노신;소듐폴리아크릴로일다이메틸타우레이트;시트릭애씨드;다이소듐이디티에이;맥아추출물;하이드로제네이티드폴리데센","38000","30ml","https://www.hwahae.co.kr/goods/%EB%B9%84%ED%94%8C%EB%A0%88%EC%9D%B8-%EC%8B%9C%EC%B9%B4-%ED%94%BC%EB%94%94%EC%95%8C%EC%97%94-%EC%8A%A4%ED%82%A8%EB%B6%80%EC%8A%A4%ED%84%B0-%EC%84%B8%EB%9F%BC-30mlPLUS10mlPLUS10ml/71132?goods_tab=review_ingredients","1.121212121212121"
"베리어덤 링거 앰플","스킨앤랩","에센스/앰플/세럼","보습","정제수;프로판다이올;글리세린;1,2-헥산다이올;클로렐라불가리스추출물;소듐하이알루로네이트;락토바실러스발효용해물;판테놀;글라이코실트레할로오스;글루코오스;부틸렌글라이콜;하이드로제네이티드스타치하이드롤리세이트;프룩토올리고사카라이드;프룩토오스;폴리쿼터늄-51;글리세릴글루코사이드;사카라이드아이소머레이트;에틸헥실글리세린;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;알란토인;하이드록시프로필트라이모늄하이알루로네이트;트로메타민;덱스트린;소듐파이테이트;소듐클로라이드;베타-글루칸;글리세릴아크릴레이트/아크릴릭애씨드코폴리머;사이아노코발아민;시트릭애씨드;소듐시트레이트;소듐바이카보네이트;칼슘클로라이드;포타슘클로라이드;토코페롤;잔탄검;치자추출물","28000","70ml","https://www.hwahae.co.kr/goods/%EC%8A%A4%ED%82%A8%EC%95%A4%EB%9E%A9-%EB%B2%A0%EB%A6%AC%EC%96%B4%EB%8D%A4-%EB%A7%81%EA%B1%B0-%EC%95%B0%ED%94%8C-70ml/63429?goods_tab=review_ingredients","1.074074074074074"
"더 6 펩타이드 스킨 부스터 세럼","코스알엑스","에센스/앰플/세럼","주름/탄력;모공/피지","정제수;다이프로필렌글라이콜;글리세린;펜틸렌글라이콜;1,2-헥산다이올;나이아신아마이드;아세틸헥사펩타이드-8(5ppm);카퍼트라이펩타이드-1(5ppm);에스에이치-폴리펩타이드-121(1.98ppm);다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트(0.3ppm);올리고펩타이드-68(0.095ppm);팔미토일트라이펩타이드-8(0.02ppm);알란토인;소듐하이알루로네이트;아세틸글루코사민;세린;알라닌;글라이신;트레오닌;알지닌;프롤린;베타인;소듐피씨에이;소듐락테이트;피씨에이;글루타믹애씨드;라이신에이치씨엘;토코페롤;덱스트란;돌콩오일;하이드로제네이티드레시틴;암모늄아크릴로일다이메틸타우레이트/브이피코폴리머;폴리아크릴레이트크로스폴리머-6;부틸렌글라이콜;잔탄검;에틸헥실글리세린;아데노신;폴리쿼터늄-51;다이소듐이디티에이;시트릭애씨드;카프릴릴글라이콜;t-부틸알코올;포타슘솔베이트;소듐올리에이트","23000","150ml","https://www.hwahae.co.kr/goods/%EC%BD%94%EC%8A%A4%EC%95%8C%EC%97%91%EC%8A%A4-%EB%8D%94-6-%ED%8E%A9%ED%83%80%EC%9D%B4%EB%93%9C-%EC%8A%A4%ED%82%A8-%EB%B6%80%EC%8A%A4%ED%84%B0-%EC%84%B8%EB%9F%BC-150ml-%EB%8D%94%EB%B8%94%EA%B8%B0%ED%9A%8D-PLUS30ml-2%EA%B0%9C/61258?goods_tab=review_ingredients","1.222222222222222"
"녹두 모공 타이트업 세럼","비플레인","에센스/앰플/세럼","진정","정제수;글리세린;다이프로필렌글라이콜;나이아신아마이드;자일리톨;1,2-헥산다이올;부틸렌글라이콜;하이드록시아세토페논;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;녹두추출물;트로메타민;에틸헥실글리세린;하이드롤라이즈드치자추출물;하이드롤라이즈드맥아추출물;하이드롤라이즈드삼색제비꽃추출물;멘톡시프로판다이올;아데노신;트라이소듐에틸렌다이아민다이석시네이트;펜틸렌글라이콜;글리세릴글루코사이드;석류나무꽃추출물;덱스트린;하이알루로닉애씨드;치자추출물;녹두씨추출물;얼룩파인애플추출물;사과추출물;복숭아추출물;로우스위트블루베리추출물;글라이코젠;아세틸헥사펩타이드-8","24000","30ml","https://www.hwahae.co.kr/goods/%EB%B9%84%ED%94%8C%EB%A0%88%EC%9D%B8-%EB%85%B9%EB%91%90-%EB%AA%A8%EA%B3%B5-%ED%83%80%EC%9D%B4%ED%8A%B8%EC%97%85-%EC%84%B8%EB%9F%BC-30mlPLUS15ml-%EA%B8%B0%ED%9A%8D/61049?goods_tab=review_ingredients","1.111111111111111"
"아토베리어365 크림","에스트라","크림","보습","정제수;부틸렌글라이콜;글리세린;부틸렌글라이콜다이카프릴레이트/다이카프레이트;세틸에틸헥사노에이트;스쿠알란;펜타에리스리틸테트라아이소스테아레이트;다이카프릴릴카보네이트;베헤닐알코올;다이메티콘;하이드록시프로필비스팔미타마이드엠이에이;스테아릭애씨드;베타인;만니톨;C14-22알코올;팔미틱애씨드;하이드록시프로필비스라우라마이드엠이에이;아라키딜알코올;콜레스테롤;폴리아크릴레이트-13;C12-20알킬글루코사이드;알란토인;아라키딜글루코사이드;나이아신아마이드;세라마이드엔피;글리세릴카프릴레이트;에틸헥실글리세린;하이드로제네이티드폴리아이소부텐;카보머;트로메타민;다이메티콘올;폴리글리세릴-10라우레이트;하이드로제네이티드레시틴;에틸헥실팔미테이트;아크릴레이트/암모늄메타크릴레이트코폴리머;솔비탄아이소스테아레이트;실리카;피토스핑고신;스핑고리피드;아라키딕애씨드;토코페롤;올레익애씨드","33000","80ml","https://www.hwahae.co.kr/goods/%EC%97%90%EC%8A%A4%ED%8A%B8%EB%9D%BC-1PLUS1-NEW%EC%95%84%ED%86%A0%EB%B2%A0%EB%A6%AC%EC%96%B4365-%ED%81%AC%EB%A6%BC-80ml%EA%B8%B0%ED%9A%8D-%EB%B0%94%EB%94%94%ED%81%AC%EB%A6%BC30mlPLUS%EC%83%A4%EC%89%90-PLUS%EC%B6%94%EA%B0%80-%EC%A6%9D%EC%A0%95/70590?goods_tab=review_ingredients","1.172413793103448"
